Order Customer Id,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Score,RFM_Total_Score,Customer_Segmentation
90,305,16,6359.53002167,3,1,1,311,5,At Risk
91,360,17,6141.610030989999,4,1,1,411,6,Can't lose them
92,249,16,7351.769867309999,3,1,1,311,5,At Risk
93,417,12,2317.32001904,4,2,3,423,9,Recent Customers
94,149,16,4377.24001325,2,1,2,212,5,At Risk
95,301,20,5688.25009175,3,1,2,312,6,Can't lose them
96,132,12,5093.18003878,2,2,2,222,6,Can't lose them
97,247,11,4177.729992109999,3,2,2,322,7,Customers Needing Attention
98,158,23,11276.800036789999,2,1,1,211,4,Lost
99,157,17,4773.38003172,2,1,2,212,5,At Risk
100,186,19,9591.24008901,3,1,1,311,5,At Risk
101,365,8,2769.1700590399996,4,2,2,422,8,Promising
102,280,16,9104.690162710001,3,1,1,311,5,At Risk
103,337,15,4795.980053039999,4,2,2,422,8,Promising
104,1125,2,562.460022,4,3,3,433,10,Loyal Customers
105,592,7,1848.92003255,4,3,3,433,10,Loyal Customers
106,381,8,3676.9799954,4,2,2,422,8,Promising
107,362,11,3799.25003772,4,2,2,422,8,Promising
108,210,11,4091.01010856,3,2,2,322,7,Customers Needing Attention
109,298,21,10881.06999585,3,1,1,311,5,At Risk
110,349,11,5168.16007196,4,2,2,422,8,Promising
111,249,7,4501.36005785,3,3,2,332,8,Promising
112,244,15,6014.06009278,3,2,1,321,6,Can't lose them
113,188,9,3814.43997222,3,2,2,322,7,Customers Needing Attention
114,636,12,8432.090162090002,4,2,1,421,7,Customers Needing Attention
115,240,4,1331.4600221,3,3,3,333,9,Recent Customers
116,915,3,1154.9999845,4,3,3,433,10,Loyal Customers
117,372,4,1183.1800384800001,4,3,3,433,10,Loyal Customers
118,272,15,7423.410045760001,3,2,1,321,6,Can't lose them
119,741,18,5318.530071390001,4,1,2,412,7,Customers Needing Attention
120,368,14,4855.92996257,4,2,2,422,8,Promising
121,572,5,1557.60000988,4,3,3,433,10,Loyal Customers
122,636,11,3116.76996224,4,2,2,422,8,Promising
123,251,33,9169.60012446,3,1,1,311,5,At Risk
124,151,17,5568.89001856,2,1,2,212,5,At Risk
125,340,11,6001.24996954,4,2,2,422,8,Promising
126,228,13,6176.55000325,3,2,1,321,6,Can't lose them
127,699,9,3868.34003438,4,2,2,422,8,Promising
128,582,2,1318.5400240000001,4,3,3,433,10,Loyal Customers
129,168,11,8060.55013644,3,2,1,321,6,Can't lose them
130,124,4,1413.5300102800002,2,3,3,233,8,Promising
131,256,11,4538.08997343,3,2,2,322,7,Customers Needing Attention
132,687,8,2280.28003675,4,2,3,423,9,Recent Customers
133,136,12,3641.3499562899997,2,2,2,222,6,Can't lose them
134,162,12,5782.55000525,3,2,2,322,7,Customers Needing Attention
135,602,1,299.980011,4,4,3,443,11,Champions
136,445,9,2883.1800439500003,4,2,2,422,8,Promising
137,402,17,5475.100036899999,4,1,2,412,7,Customers Needing Attention
138,286,12,3954.69004426,3,2,2,322,7,Customers Needing Attention
139,257,17,6169.3700218799995,3,1,1,311,5,At Risk
140,188,22,8323.21009816,3,1,1,311,5,At Risk
141,447,20,5940.0300713199995,4,1,2,412,7,Customers Needing Attention
142,239,23,9757.36004663,3,1,1,311,5,At Risk
143,200,3,1103.1899720000001,3,3,3,333,9,Recent Customers
144,134,6,951.3500061,2,3,3,233,8,Promising
145,223,15,5097.959983749999,3,2,2,322,7,Customers Needing Attention
146,156,13,5752.059932940001,2,2,2,222,6,Can't lose them
147,797,1,1187.0500185,4,4,3,443,11,Champions
148,234,9,3818.6600035,3,2,2,322,7,Customers Needing Attention
149,663,14,6560.3601111399985,4,2,1,421,7,Customers Needing Attention
150,440,14,4325.610000799999,4,2,2,422,8,Promising
151,355,12,3366.5500185400006,4,2,2,422,8,Promising
152,424,7,5090.3000337,4,3,2,432,9,Recent Customers
153,134,6,2199.82002638,2,3,3,233,8,Promising
154,386,30,16482.050274100002,4,1,1,411,6,Can't lose them
155,184,13,6117.109989320001,3,2,1,321,6,Can't lose them
156,425,8,2968.37004866,4,2,2,422,8,Promising
157,259,13,3330.4800375600003,3,2,2,322,7,Customers Needing Attention
158,799,5,1918.41997505,4,3,3,433,10,Loyal Customers
159,137,8,2579.14001561,2,2,2,222,6,Can't lose them
160,292,11,3923.5800704400003,3,2,2,322,7,Customers Needing Attention
161,374,17,5536.91997491,4,1,2,412,7,Customers Needing Attention
162,556,8,4470.00001938,4,2,2,422,8,Promising
163,777,3,2377.4600223,4,3,3,433,10,Loyal Customers
164,228,13,4211.10999332,3,2,2,322,7,Customers Needing Attention
165,434,18,8080.130027969999,4,1,1,411,6,Can't lose them
166,704,6,1511.75999043,4,3,3,433,10,Loyal Customers
167,759,2,293.8800049,4,3,3,433,10,Loyal Customers
168,133,15,8470.60011316,2,2,1,221,5,At Risk
169,427,11,2837.67002106,4,2,2,422,8,Promising
170,265,12,3300.25000363,3,2,2,322,7,Customers Needing Attention
171,259,8,2660.2800065399997,3,2,2,322,7,Customers Needing Attention
172,198,32,16951.779995340003,3,1,1,311,5,At Risk
173,181,31,11369.380086780002,3,1,1,311,5,At Risk
174,174,28,9294.23015578,3,1,1,311,5,At Risk
175,206,19,9445.200115259999,3,1,1,311,5,At Risk
176,547,12,8390.40003158,4,2,1,421,7,Customers Needing Attention
177,202,2,588.9700164999999,3,3,3,333,9,Recent Customers
179,188,7,5272.0800020199995,3,3,2,332,8,Promising
180,270,16,7545.85997392,3,1,1,311,5,At Risk
181,253,22,8117.32993821,3,1,1,311,5,At Risk
182,131,19,8369.01994682,2,1,1,211,4,Lost
183,854,5,1859.1000059799999,4,3,3,433,10,Loyal Customers
184,370,11,5768.5800172399995,4,2,2,422,8,Promising
185,191,10,4663.35996635,3,2,2,322,7,Customers Needing Attention
186,442,8,1900.19002531,4,2,3,423,9,Recent Customers
187,161,24,9952.550224139999,3,1,1,311,5,At Risk
188,227,14,6587.819988280001,3,2,1,321,6,Can't lose them
189,324,8,4711.5800475,4,2,2,422,8,Promising
190,162,20,9139.94013968,3,1,1,311,5,At Risk
191,136,18,7877.980026439999,2,1,1,211,4,Lost
192,203,25,10273.530076849998,3,1,1,311,5,At Risk
193,500,6,2077.55999742,4,3,3,433,10,Loyal Customers
194,157,26,15004.88005848,2,1,1,211,4,Lost
195,741,6,2280.2200165,4,3,3,433,10,Loyal Customers
196,333,16,7544.84999326,4,1,1,411,6,Can't lose them
197,123,33,9913.760047799999,2,1,1,211,4,Lost
198,439,13,3848.0100402400003,4,2,2,422,8,Promising
199,327,17,6649.40001692,4,1,1,411,6,Can't lose them
200,159,7,4520.94995122,2,3,2,232,7,Customers Needing Attention
201,298,2,338.74000549,3,3,3,333,9,Recent Customers
202,142,12,5141.600028780001,2,2,2,222,6,Can't lose them
203,190,23,7189.26003278,3,1,1,311,5,At Risk
204,165,13,4039.9400288800007,3,2,2,322,7,Customers Needing Attention
205,314,19,6856.310121189999,4,1,1,411,6,Can't lose them
206,195,16,7078.560040279999,3,1,1,311,5,At Risk
207,191,24,11203.39994392,3,1,1,311,5,At Risk
208,534,7,1873.48002624,4,3,3,433,10,Loyal Customers
209,223,16,7273.5300331,3,1,1,311,5,At Risk
210,332,20,7832.19000338,4,1,1,411,6,Can't lose them
211,188,7,2859.7300298,3,3,2,332,8,Promising
212,165,7,2115.54001811,3,3,3,333,9,Recent Customers
213,243,16,7382.71996686,3,1,1,311,5,At Risk
214,368,23,6126.4199745000005,4,1,1,411,6,Can't lose them
215,290,19,6014.970119449999,3,1,1,311,5,At Risk
216,283,11,5671.3100397299995,3,2,2,322,7,Customers Needing Attention
217,364,14,5169.7100487,4,2,2,422,8,Promising
218,145,13,4553.0700149799995,2,2,2,222,6,Can't lose them
220,339,9,1783.92003228,4,2,3,423,9,Recent Customers
221,125,34,16067.9601406,2,1,1,211,4,Lost
222,464,23,6850.800115739999,4,1,1,411,6,Can't lose them
223,125,18,7571.300048900001,2,1,1,211,4,Lost
224,187,22,9373.30009873,3,1,1,311,5,At Risk
225,700,18,9456.780174180001,4,1,1,411,6,Can't lose them
226,266,13,5290.6599808,3,2,2,322,7,Customers Needing Attention
227,304,8,2904.3200568400007,3,2,2,322,7,Customers Needing Attention
228,124,17,6713.92003968,2,1,1,211,4,Lost
229,138,15,8859.870174399999,2,2,1,221,5,At Risk
230,226,25,13947.30006487,3,1,1,311,5,At Risk
231,555,10,4309.83997724,4,2,2,422,8,Promising
232,155,12,7035.73003783,2,2,1,221,5,At Risk
233,171,15,6423.759952739998,3,2,1,321,6,Can't lose them
234,317,11,3659.5900134300005,4,2,2,422,8,Promising
235,273,13,8151.050136359999,3,2,1,321,6,Can't lose them
236,355,15,9559.670028790002,4,2,1,421,7,Customers Needing Attention
237,771,4,2760.6399690999997,4,3,2,432,9,Recent Customers
238,296,27,14401.06008007,3,1,1,311,5,At Risk
239,574,11,1844.03002164,4,2,3,423,9,Recent Customers
240,511,7,1126.74999995,4,3,3,433,10,Loyal Customers
241,123,26,11250.059982640001,2,1,1,211,4,Lost
242,170,18,7273.7201082599995,3,1,1,311,5,At Risk
243,236,14,5680.0000001299995,3,2,2,322,7,Customers Needing Attention
244,832,13,7364.7901,4,2,1,421,7,Customers Needing Attention
245,503,25,10678.63001437,4,1,1,411,6,Can't lose them
246,744,8,2803.8300704000003,4,2,2,422,8,Promising
247,381,21,8310.820114319999,4,1,1,411,6,Can't lose them
248,200,14,6353.27999122,3,2,1,321,6,Can't lose them
249,156,9,4854.9700163,2,2,2,222,6,Can't lose them
250,142,9,2739.9600218,2,2,2,222,6,Can't lose them
251,423,9,3569.1799814399997,4,2,2,422,8,Promising
252,304,21,9250.210161089999,3,1,1,311,5,At Risk
253,422,2,1048.78998963,4,3,3,433,10,Loyal Customers
254,132,23,8891.45015678,2,1,1,211,4,Lost
255,670,16,9270.110031200002,4,1,1,411,6,Can't lose them
256,354,22,10317.229988,4,1,1,411,6,Can't lose them
257,241,17,9288.89000754,3,1,1,311,5,At Risk
258,335,17,8993.60010911,4,1,1,411,6,Can't lose them
259,189,25,8738.840053479998,3,1,1,311,5,At Risk
260,127,13,5588.160110389999,2,2,2,222,6,Can't lose them
261,380,7,5313.060012999999,4,3,2,432,9,Recent Customers
262,274,13,2927.5900002999997,3,2,2,322,7,Customers Needing Attention
263,357,3,872.61003114,4,3,3,433,10,Loyal Customers
264,516,10,4877.400131219999,4,2,2,422,8,Promising
265,227,7,1453.57001884,3,3,3,333,9,Recent Customers
266,274,17,5391.97000454,3,1,2,312,6,Can't lose them
267,136,10,2492.37998202,2,2,3,223,7,Customers Needing Attention
268,251,10,2639.56999755,3,2,2,322,7,Customers Needing Attention
269,997,5,2229.43000036,4,3,3,433,10,Loyal Customers
270,187,17,5993.990097059999,3,1,2,312,6,Can't lose them
271,515,14,5335.810020379999,4,2,2,422,8,Promising
272,125,25,7757.990038962001,2,1,1,211,4,Lost
273,405,11,3421.4200820199994,4,2,2,422,8,Promising
274,279,8,3637.30001442,3,2,2,322,7,Customers Needing Attention
275,191,16,5822.849991,3,1,2,312,6,Can't lose them
276,159,20,5809.95005827,2,1,2,212,5,At Risk
277,176,18,4828.75003804,3,1,2,312,6,Can't lose them
278,1002,4,1034.2900046799998,4,3,3,433,10,Loyal Customers
279,152,9,2876.15001115,2,2,2,222,6,Can't lose them
280,211,11,9743.47991249,3,2,1,321,6,Can't lose them
281,419,8,2696.96998204,4,2,2,422,8,Promising
282,143,12,2931.89996727,2,2,2,222,6,Can't lose them
283,123,17,9530.58002068,2,1,1,211,4,Lost
284,148,12,7064.690033,2,2,1,221,5,At Risk
285,135,21,8318.420112259999,2,1,1,211,4,Lost
286,213,19,9435.77006184,3,1,1,311,5,At Risk
287,487,15,4517.030036789999,4,2,2,422,8,Promising
288,330,16,8070.97000464,4,1,1,411,6,Can't lose them
289,515,21,8193.35007134,4,1,1,411,6,Can't lose them
290,142,26,8592.150106870002,2,1,1,211,4,Lost
291,201,22,9088.900161779999,3,1,1,311,5,At Risk
292,295,5,2784.8000563200003,3,3,2,332,8,Promising
293,346,10,5082.58008539,4,2,2,422,8,Promising
294,140,12,3360.6000137,2,2,2,222,6,Can't lose them
295,196,6,2302.83005903,3,3,3,333,9,Recent Customers
296,466,23,9772.01994136,4,1,1,411,6,Can't lose them
297,196,17,7906.73009833,3,1,1,311,5,At Risk
298,207,5,2215.40007014,3,3,3,333,9,Recent Customers
299,282,5,1871.82000329,3,3,3,333,9,Recent Customers
300,136,19,7086.54009246,2,1,1,211,4,Lost
301,149,7,3428.1200105,2,3,2,232,7,Customers Needing Attention
302,1060,1,695.7199708,4,4,3,443,11,Champions
303,396,11,6922.510024879999,4,2,1,421,7,Customers Needing Attention
304,588,8,2897.8199771,4,2,2,422,8,Promising
305,231,15,4854.070083840001,3,2,2,322,7,Customers Needing Attention
306,872,9,4342.75995636,4,2,2,422,8,Promising
307,866,7,3048.31001684,4,3,2,432,9,Recent Customers
308,187,24,9419.39996772,3,1,1,311,5,At Risk
309,198,8,2503.6200142899997,3,2,3,323,8,Promising
310,331,9,4205.6199804200005,4,2,2,422,8,Promising
311,239,15,5769.140077489999,3,2,2,322,7,Customers Needing Attention
312,201,14,6803.62009627,3,2,1,321,6,Can't lose them
313,266,11,3430.18001554,3,2,2,322,7,Customers Needing Attention
314,158,19,8665.899956,2,1,1,211,4,Lost
315,385,15,5454.3299483,4,2,2,422,8,Promising
316,215,15,5406.01011107,3,2,2,322,7,Customers Needing Attention
317,534,14,6881.17004784,4,2,1,421,7,Customers Needing Attention
318,174,15,8599.7600252,3,2,1,321,6,Can't lose them
319,271,17,7694.930068839999,3,1,1,311,5,At Risk
320,686,13,5204.61996303,4,2,2,422,8,Promising
321,139,22,7347.37003374,2,1,1,211,4,Lost
322,269,4,921.00002292,3,3,3,333,9,Recent Customers
323,143,8,3567.9199905800006,2,2,2,222,6,Can't lose them
324,448,15,6478.4700392999985,4,2,1,421,7,Customers Needing Attention
325,140,9,3310.4100189600003,2,2,2,222,6,Can't lose them
326,167,25,7358.84006509,3,1,1,311,5,At Risk
327,199,18,8742.089988939999,3,1,1,311,5,At Risk
328,298,20,6656.650030409999,3,1,1,311,5,At Risk
329,250,26,10452.020130109999,3,1,1,311,5,At Risk
330,232,13,4343.659980910001,3,2,2,322,7,Customers Needing Attention
331,140,20,5951.35007117,2,1,2,212,5,At Risk
332,191,12,3370.6199758500006,3,2,2,322,7,Customers Needing Attention
333,190,9,3747.54005842,3,2,2,322,7,Customers Needing Attention
334,127,14,3974.2299651400003,2,2,2,222,6,Can't lose them
335,220,28,8698.780101710001,3,1,1,311,5,At Risk
336,175,20,5312.58004363,3,1,2,312,6,Can't lose them
337,192,10,4208.88005832,3,2,2,322,7,Customers Needing Attention
338,130,9,5266.5701067,2,2,2,222,6,Can't lose them
340,629,6,2243.8200075600002,4,3,3,433,10,Loyal Customers
341,156,37,17314.460079359997,2,1,1,211,4,Lost
342,186,21,7833.500114239999,3,1,1,311,5,At Risk
343,221,17,9423.510188740001,3,1,1,311,5,At Risk
344,226,12,3658.6200102000003,3,2,2,322,7,Customers Needing Attention
345,393,13,6691.66012556,4,2,1,421,7,Customers Needing Attention
346,434,7,3764.70003506,4,3,2,432,9,Recent Customers
347,225,12,6071.55012506,3,2,1,321,6,Can't lose them
348,381,13,6286.20001654,4,2,1,421,7,Customers Needing Attention
349,512,12,4909.3701094,4,2,2,422,8,Promising
350,435,10,5411.819927460001,4,2,2,422,8,Promising
351,135,24,7944.470008800001,2,1,1,211,4,Lost
352,324,14,4302.7500154399995,4,2,2,422,8,Promising
353,158,14,4003.22000906,2,2,2,222,6,Can't lose them
354,161,25,11053.72009619,3,1,1,311,5,At Risk
355,276,8,6533.770011799999,3,2,1,321,6,Can't lose them
356,155,17,9222.95001274,2,1,1,211,4,Lost
357,484,14,4832.37998982,4,2,2,422,8,Promising
358,129,13,4997.250030719999,2,2,2,222,6,Can't lose them
359,146,18,9409.219917749999,2,1,1,211,4,Lost
361,172,16,3539.68004995,3,1,2,312,6,Can't lose them
362,840,5,993.42001724,4,3,3,433,10,Loyal Customers
363,134,17,6480.769977710001,2,1,1,211,4,Lost
364,166,27,9635.88013246,3,1,1,311,5,At Risk
365,631,6,2338.1599921800002,4,3,3,433,10,Loyal Customers
366,501,16,6796.91007928,4,1,1,411,6,Can't lose them
367,451,5,3057.3500518,4,3,2,432,9,Recent Customers
368,124,20,6522.270031079999,2,1,1,211,4,Lost
369,254,18,6290.4999850799995,3,1,1,311,5,At Risk
370,186,13,4522.15000907,3,2,2,322,7,Customers Needing Attention
371,122,18,9967.6200636,2,1,1,211,4,Lost
372,219,7,3406.52000406,3,3,2,332,8,Promising
373,172,25,9607.46009771,3,1,1,311,5,At Risk
374,210,16,6693.26003782,3,1,1,311,5,At Risk
375,333,15,5742.21009087,4,2,2,422,8,Promising
376,185,26,8614.48004862,3,1,1,311,5,At Risk
377,394,23,8018.92004791,4,1,1,411,6,Can't lose them
378,127,11,6119.100120300001,2,2,1,221,5,At Risk
379,207,16,6617.10992447,3,1,1,311,5,At Risk
380,805,12,3991.58001139,4,2,2,422,8,Promising
381,411,11,3178.7200167200003,4,2,2,422,8,Promising
382,123,13,8260.43995685,2,2,1,221,5,At Risk
383,316,23,9937.370002810001,4,1,1,411,6,Can't lose them
384,138,19,6579.6800802200005,2,1,1,211,4,Lost
385,794,5,2650.4300232000005,4,3,2,432,9,Recent Customers
386,514,8,1774.31000914,4,2,3,423,9,Recent Customers
387,288,21,7811.59009132,3,1,1,311,5,At Risk
388,424,23,8375.61017382,4,1,1,411,6,Can't lose them
389,325,7,2348.4399909599997,4,3,3,433,10,Loyal Customers
390,267,17,6694.980041209999,3,1,1,311,5,At Risk
391,393,19,10370.83008594,4,1,1,411,6,Can't lose them
392,304,10,2253.68998314,3,2,3,323,8,Promising
393,483,11,3130.9199791500005,4,2,2,422,8,Promising
394,171,20,10344.5298691,3,1,1,311,5,At Risk
395,188,3,503.61998751000004,3,3,3,333,9,Recent Customers
396,379,25,10619.07997167,4,1,1,411,6,Can't lose them
397,517,14,3884.9600143000002,4,2,2,422,8,Promising
398,239,13,6150.839958420001,3,2,1,321,6,Can't lose them
399,318,4,2400.8799591,4,3,3,433,10,Loyal Customers
400,223,16,6645.169984509999,3,1,1,311,5,At Risk
401,674,4,645.07999426,4,3,3,433,10,Loyal Customers
402,572,6,2894.31001664,4,3,2,432,9,Recent Customers
403,121,10,2759.53004644,2,2,2,222,6,Can't lose them
404,209,18,4425.450018040001,3,1,2,312,6,Can't lose them
405,316,7,5104.06999624,4,3,2,432,9,Recent Customers
406,244,13,5146.07003016,3,2,2,322,7,Customers Needing Attention
407,271,15,8917.890117399998,3,2,1,321,6,Can't lose them
408,500,25,9530.40003195,4,1,1,411,6,Can't lose them
409,302,16,6982.1399688599995,3,1,1,311,5,At Risk
410,139,20,9839.41007215,2,1,1,211,4,Lost
411,251,12,8798.530052279999,3,2,1,321,6,Can't lose them
412,146,9,3851.80996691,2,2,2,222,6,Can't lose them
413,954,3,1143.1199949,4,3,3,433,10,Loyal Customers
415,352,13,7544.420006259999,4,2,1,421,7,Customers Needing Attention
416,574,14,6307.2899707,4,2,1,421,7,Customers Needing Attention
417,334,6,962.00999644,4,3,3,433,10,Loyal Customers
418,206,9,3543.8900222800003,3,2,2,322,7,Customers Needing Attention
419,125,16,4556.36007286,2,1,2,212,5,At Risk
420,280,16,7322.56008956,3,1,1,311,5,At Risk
421,453,8,4950.71003336,4,2,2,422,8,Promising
422,221,11,5060.60009,3,2,2,322,7,Customers Needing Attention
423,977,8,4236.4799725,4,2,2,422,8,Promising
424,171,22,8652.54011531,3,1,1,311,5,At Risk
425,278,18,7579.48005278,3,1,1,311,5,At Risk
426,133,11,4639.43998318,2,2,2,222,6,Can't lose them
427,474,12,6226.74995454,4,2,1,421,7,Customers Needing Attention
428,277,10,5335.979961679999,3,2,2,322,7,Customers Needing Attention
429,176,12,7188.99010853,3,2,1,321,6,Can't lose them
430,222,26,9271.75013874,3,1,1,311,5,At Risk
431,624,9,2409.5700588,4,2,3,423,9,Recent Customers
432,417,7,2717.2000048,4,3,2,432,9,Recent Customers
433,176,23,11609.8900145,3,1,1,311,5,At Risk
434,242,23,9156.50008595,3,1,1,311,5,At Risk
435,221,17,7239.0500641,3,1,1,311,5,At Risk
436,403,22,10683.020072939998,4,1,1,411,6,Can't lose them
437,305,33,12533.9500659,3,1,1,311,5,At Risk
438,375,15,9262.57997569,4,2,1,421,7,Customers Needing Attention
439,508,25,6351.67006513,4,1,1,411,6,Can't lose them
440,395,17,7570.89004753,4,1,1,411,6,Can't lose them
441,137,14,5643.33004392,2,2,2,222,6,Can't lose them
442,191,21,9814.01991709,3,1,1,311,5,At Risk
443,122,20,7466.720043119999,2,1,1,211,4,Lost
444,302,18,7234.44002896,3,1,1,311,5,At Risk
445,250,17,7036.9301067999995,3,1,1,311,5,At Risk
446,309,12,3274.06002414,4,2,2,422,8,Promising
447,147,13,7646.1600346999985,2,2,1,221,5,At Risk
448,151,4,1092.9699555900002,2,3,3,233,8,Promising
449,255,11,5245.22003192,3,2,2,322,7,Customers Needing Attention
450,137,37,13989.610046599999,2,1,1,211,4,Lost
451,700,6,4872.03005198,4,3,2,432,9,Recent Customers
452,218,25,11632.060016840001,3,1,1,311,5,At Risk
453,344,17,5625.559997299999,4,1,2,412,7,Customers Needing Attention
454,225,18,4536.78002933,3,1,2,312,6,Can't lose them
455,176,25,9876.39011989,3,1,1,311,5,At Risk
456,215,6,2104.83000182,3,3,3,333,9,Recent Customers
457,129,18,4876.38000103,2,1,2,212,5,At Risk
458,163,17,6349.01004803,3,1,1,311,5,At Risk
459,421,5,3340.2500457,4,3,2,432,9,Recent Customers
460,253,13,5173.55995558,3,2,2,322,7,Customers Needing Attention
461,365,12,4939.94005188,4,2,2,422,8,Promising
462,246,10,4510.04007551,3,2,2,322,7,Customers Needing Attention
463,180,17,6225.1600230799995,3,1,1,311,5,At Risk
464,309,13,6240.66989557,4,2,1,421,7,Customers Needing Attention
465,149,25,12386.81007406,2,1,1,211,4,Lost
466,805,5,795.9100150900001,4,3,3,433,10,Loyal Customers
467,149,31,13805.41020567,2,1,1,211,4,Lost
